diet,taxon,species,id,measure,prox,med,dist
Protein,Bat,Molossus rufus,Mr,intestinal diameter,0.5575,0.7625000000000001,0.6425000000000001
Omnivorous,Rodent,Mus musculus,Mm1,intestinal diameter,0.54,0.545,0.48
Omnivorous,Rodent,Mus musculus,Mm2,intestinal diameter,0.485,0.595,0.45999999999999996
Omnivorous,Rodent,Mus musculus,Mm3,intestinal diameter,0.745,0.8699999999999999,0.45499999999999996
Omnivorous,Rodent,Mus musculus,Mm4,intestinal diameter,0.655,0.67,0.45
Omnivorous,Rodent,Mus musculus,Mm5,intestinal diameter,0.61,0.755,0.505
Omnivorous,Rodent,Mus musculus,Mm6,intestinal diameter,0.6950000000000001,0.67,0.485
Protein,Bat,Myotis lucifugus,My1,intestinal diameter,0.403,0.476,0.417
Protein,Bat,Myotis lucifugus,My2,intestinal diameter,0.438,0.6,0.404
Protein,Bat,Myotis lucifugus,My3,intestinal diameter,0.513,0.594,0.4565
Herbivorous,Rodent,Olygoryzomys nigripes,o1,intestinal diameter,0.535,0.55,0.5325
Herbivorous,Rodent,Olygoryzomys nigripes,o2,intestinal diameter,0.7525000000000001,0.6900000000000001,0.6025
Protein,Rodent,Peromyscus leucopus,P1,intestinal diameter,0.6475,0.776,0.745667
Protein,Rodent,Peromyscus leucopus,P2,intestinal diameter,0.662667,0.658,0.641
Protein,Rodent,Peromyscus leucopus,P3,intestinal diameter,0.59065,0.59065,0.6066
Herbivorous,Rodent,Sooretamys angouya,s1,intestinal diameter,1.0075,0.79,0.7325
Herbivorous,Rodent,Sooretamys angouya,s2,intestinal diameter,0.8675,0.8625,0.7850000000000001
Protein,Bat,Tadarida brasiliensis,Tb1,intestinal diameter,0.27999999999999997,0.375,0.365
Protein,Bat,Tadarida brasiliensis,Tb2,intestinal diameter,0.34500000000000003,0.575,0.29500000000000004
Protein,Bat,Tadarida brasiliensis,Tb3,intestinal diameter,0.5549999999999999,0.55,0.4
Protein,Bat,Tadarida brasiliensis,Tb4,intestinal diameter,0.355,0.45499999999999996,0.365
Protein,Bat,Tadarida brasiliensis,Tb5,intestinal diameter,0.465,0.6849999999999999,0.505
Protein,Bat,Tadarida brasiliensis,Tb6,intestinal diameter,0.585,0.63,0.44000000000000006
Protein,Bat,Tadarida brasiliensis,Tb7,intestinal diameter,0.48,0.55,0.41500000000000004
Protein,Bat,Tadarida brasiliensis,Tb8,intestinal diameter,0.5900000000000001,0.745,0.505
Omnivorous,Rodent,Thaptomys nigrita,t1,intestinal diameter,0.5225,0.5625,0.41
Omnivorous,Rodent,Thaptomys nigrita,t2,intestinal diameter,0.44000000000000006,0.45499999999999996,0.4325
Omnivorous,Rodent,Thaptomys nigrita,t3,intestinal diameter,0.5199999999999999,0.445,0.6525
Omnivorous,Rodent,Akodon montensis,Ak1,intestinal length,39.4,NA,NA
Omnivorous,Rodent,Akodon montensis,Ak2,intestinal length,39,NA,NA
Omnivorous,Rodent,Akodon montensis,Ak3,intestinal length,48.8,NA,NA
Omnivorous,Rodent,Akodon montensis,Ak4,intestinal length,48.8,NA,NA
Herbivorous,Bat,Artibeus lituratus,Ar1,intestinal length,44.7,NA,NA
Herbivorous,Bat,Artibeus lituratus,Ar2,intestinal length,48.5,NA,NA
Herbivorous,Bat,Artibeus lituratus,Ar3,intestinal length,50.4,NA,NA
Herbivorous,Bat,Carollia perspicillata,Cp1,intestinal length,7.7,NA,NA
Herbivorous,Bat,Carollia perspicillata,Cp2,intestinal length,9.2,NA,NA
Herbivorous,Bat,Carollia perspicillata,Cp3,intestinal length,9.2,NA,NA
Herbivorous,Bat,Carollia perspicillata,Cp4,intestinal length,8.1,NA,NA
Omnivorous,Rodent,Delomys sublineatus,Ds1,intestinal length,37.5,NA,NA
Omnivorous,Rodent,Delomys sublineatus,Ds2,intestinal length,36.2,NA,NA
Omnivorous,Rodent,Delomys sublineatus,Ds3,intestinal length,35.8,NA,NA
Protein,Bat,Desmodus rotundus,Dr1,intestinal length,19.2,NA,NA
Protein,Bat,Desmodus rotundus,Dr2,intestinal length,17.6,NA,NA
Protein,Bat,Desmodus rotundus,Dr3,intestinal length,18.5,NA,NA
Protein,Bat,Eptesicus fuscus,Eptesicus1,intestinal length,7.5,NA,NA
Protein,Bat,Eptesicus fuscus,Eptesicus2,intestinal length,15.25,NA,NA
